Country Name,Forest area (%)
1990,6.749891131
1991,6.996661344
1992,7.243286257
1993,7.49005647
1994,7.736681383
1995,7.983451596
1996,8.230076509
1997,8.476846722
1998,8.723472521
1999,8.970242734
2000,9.216867647
2001,9.390767785
2002,9.564523507
2003,9.738423645
2004,9.912323782
2005,10.08622481
2006,10.17564233
2007,10.26491544
2008,10.35447826
2009,10.44389578
2010,10.53316889
2011,10.61561907
2012,10.69806924
2013,10.78037412
2014,10.86282518
2015,10.94527536
2016,11.02772554
